smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_192_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_242_raw,smart_5_raw,smart_7_raw,smart_9_raw
-0.013675555,-0.035232861000000004,-0.02318687,-0.024812555,-0.01362002,-0.477936323,-0.07419678099999999,-0.477936323,-0.021970276,-0.021970276,-0.023835544,-0.524535879,-0.029277333,-0.008206208000000001,-0.17347068899999998
-0.013675555,-0.035232861000000004,-0.02318687,-0.024812555,-0.01362002,0.782587809,-0.07419678099999999,0.782587809,-0.021970276,-0.021970276,-0.023835544,-0.5474162020000001,-0.029277333,-0.007909673,-1.02507948
-0.013675555,-0.035232861000000004,-0.02318687,-0.024812555,-0.01362002,-0.982145975,-0.07419678099999999,-0.982145975,-0.021970276,-0.021970276,-0.023835544,-0.577764741,-0.029277333,-0.008319214,-0.086179069
-0.013675555,-0.035232861000000004,-0.02318687,-0.024812555,-0.01362002,-0.225831497,-0.036030436,-0.225831497,-0.021970276,-0.021970276,-0.023835544,-1.5470606830000002,-0.029277333,-0.008310747,-3.105094432
-0.013675555,-0.035232861000000004,-0.02318687,-0.024812555,-0.01362002,-0.7300411490000001,-0.07419678099999999,-0.7300411490000001,-0.021970276,-0.021970276,-0.023835544,-0.9814146570000001,-0.029277333,-0.008247296,-0.015246036999999999
-0.013675555,-0.035232861000000004,-0.02318687,-0.024812555,-0.01362002,-1.234250802,0.154801294,-1.234250802,-0.021970276,-0.021970276,-0.023835544,0.9211100459999999,-0.029277333,-0.004471815,1.605628743
-0.013675555,-0.035232861000000004,0.02637337,-0.024812555,-0.01362002,-0.225831497,-0.07419678099999999,-0.225831497,-0.021970276,-0.021970276,-0.023835544,-0.6712359379999999,-0.029277333,-0.008254414,-0.500230026
-0.013675555,-0.035232861000000004,-0.02318687,-0.024812555,-0.01362002,-0.7300411490000001,-0.07419678099999999,-0.7300411490000001,-0.021970276,-0.021970276,-0.023835544,-0.303623651,-0.029277333,-0.008204507,0.305464748
-0.013675555,-0.035232861000000004,-0.02318687,-0.024812555,-0.01362002,-0.225831497,-0.07419678099999999,-0.225831497,-0.021970276,-0.021970276,-0.023835544,-0.293079107,-0.029277333,-0.008337864,-0.9087822990000001
-0.013675555,-0.035232861000000004,-0.02318687,-0.024812555,-0.01362002,-0.225831497,-0.07419678099999999,-0.225831497,-0.021970276,-0.021970276,-0.023835544,-0.535442595,-0.029277333,-0.008272798,-0.496930816
