smart_187_raw,smart_197_raw,smart_198_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_7_raw,smart_9_raw
-0.02318687,-0.021970276,-0.021970276,-0.173598081,1.405650671,-0.524535879,-0.008206208,-0.173470689
-0.02318687,-0.021970276,-0.021970276,-1.00124638,0.146992672,-0.547416202,-0.007909673,-1.02507948
-0.02318687,-0.021970276,-0.021970276,-0.154243587,0.439775342,-0.577764741,-0.008319214,-0.086179069
-0.02318687,-0.021970276,-0.021970276,-3.101557106,-2.412255271,-1.547060683,-0.008310747,-3.105094432
-0.02318687,-0.021970276,-0.021970276,0.0255165,0.012162472,-0.981414657,-0.008247296,-0.015246037
-0.02318687,-0.021970276,-0.021970276,1.529040447,-0.802102816,0.921110046,-0.004471815,1.605628743
0.02637337,-0.021970276,-0.021970276,-0.475611735,0.839808433,-0.671235938,-0.008254414,-0.500230026
-0.02318687,-0.021970276,-0.021970276,0.325023817,1.355125398,-0.303623651,-0.008204507,0.305464748
-0.02318687,-0.021970276,-0.021970276,-0.884840933,0.256457915,-0.293079107,-0.008337864,-0.908782299
-0.02318687,-0.021970276,-0.021970276,-0.47199147,0.798870031,-0.535442595,-0.008272798,-0.496930816
-0.02318687,-0.021970276,-0.021970276,1.239558479,-0.884478187,0.302555021,-0.008349693,1.218658808
-0.02318687,-0.021970276,-0.021970276,-0.543561326,0.763035058,-0.71426774,-0.008296154,-0.569238519
-0.02318687,-0.021970276,-0.021970276,-1.001107139,-0.063090915,-0.658564206,-0.007908786,-1.025354414
-0.02318687,-0.021970276,-0.021970276,-1.745071619,-2.794472061,-0.577020852,-0.008316789,-1.331356218
-0.02318687,-0.021970276,-0.021970276,1.739572787,-0.539944141,1.557751047,-0.008188078,1.68920875
-0.02318687,-0.021970276,-0.021970276,-0.237370443,1.216238677,-0.375831953,-0.008259938,-0.229557273
-0.02318687,-0.021970276,-0.021970276,1.59434446,0.425013922,2.292972477,-0.008243047,2.004970719
-0.02318687,-0.021970276,-0.021970276,-0.16190184,1.410181034,-0.566884073,-0.008219869,-0.154087825
-0.02318687,-0.021970276,-0.021970276,1.114380851,-1.121005582,0.64993283,-0.00834882,1.386643625
-0.02318687,-0.021970276,-0.021970276,-0.626966665,0.5822509,-0.53675596,-0.008310134,-0.641271289
-0.02318687,-0.021970276,-0.021970276,-0.802688763,0.415340974,-0.645536819,-0.008325282,-0.822865351
-0.02318687,-0.021970276,-0.021970276,-0.611928641,0.575649951,-0.587367755,-0.008315137,-0.643883164
